ID,HEP_Categories,QIS_Categories,HEP_Context,Methods,Results_and_Conclusions
Ngairangbam:2021yma,"'Anomaly Detection'","'Quantum Autoencoders', 'Variational Quantum Circuits'","To be written","Quantum Autoencoders using Variational Quantum Circuits (VQC)","To be written"
Zlokapa:2019tkn,"'Track Reconstruction'","'Quantum Annealing'","To be written","To be written","To be written"
AlexiadesArmenakas:2021lrs,"'Beyond the Standard Model'","'Quantum Algorithms Based on Amplitude Amplification'","Search for $H \rightarrow ZZ_d \rightarrow \rightarrow4l$, where $Z_d$ is a hypothetical Dark Sector vector boson","To be written","To be written"
Kim:2021wrr,"'Jet Algorithms and Jet Tagging'","'Quantum Annealing'","Identify an event-topology, a diagram to describe the history of the particles produced at the LHC","To be written","To be written"
Carena:2021ltu,"'Lattice Field Theories'","'Quantum Simulations'","To be written","To be written","To be written"
Caldeira:2019lzf,"'Cosmology'","'Quantum Annealing'","To be written","To be written","To be written"
Bauer:2021gek,"'Lattice Field Theories'","'Quantum Simulations'","To be written","To be written","To be written"
Wu:2020cye,"'Signal-Background Discrimination'","'Variational Quantum Circuits'","Signal-background discrimination, where signal events are $t\bar{t}H$ ($H\rightarrow\gamma\gamma$) and $H\rightarrow\mu\mu$, and background events are dominant Standard Model processes","Variational quantum circuits","With 100 training events, 100 test events, and 10 encoded variables, the AUC of IBM's quantum computer simulator that includes a noise model with 10 qubits are similar to the AUC of a classical support vector machine (SVM) and a boosted decision tree (BDT) classifier. The results show that IBM's quantum computer and quantum simulator are in good agreement, however, the run time on the quantum computer is longer than the classical machine learning algorithms due to the limitations in quantum hardware."
Bravo-Prieto:2021ehz,"'Event Generation'","'Quantum Generative Adversarial Networks'","To be written","Hybrid quantum-classical system, where the generator model is a Quantum Neural Network (QNN) and the discriminator model is a Classical Neural Network (CNN). ","To be written"
Wu:2021xsj,"'Signal-Background Discrimination'","'Quantum Support Vector Machines'","Signal-background discrimination, where signal events are $t\bar{t}H$ ($H\rightarrow\gamma\gamma$), and background events are dominant Standard Model processes","Quantum support vector machine with a quantum kernel estimator (QSVM-Kernel)","The performance of these quantum simulators, using 15 qubits and 60 independent datasets of 20000 training events and 20000 testing events, are similar to the performance of a classical SVM and a classical BDT. The QSVM-Kernel algorithm is then implemented on IBM's quantum processor. The mean performance of QSVM-Kernel on IBM's quantum processor and IBM's quantum computer simulator is about 5\% lower. This difference is expected due to hardware noise. The results on IBM's quantum processor does approach the performance of IBM's quantum computer simulator. The paper concludes that the running time is expected to be reduced with improved quantum hardware and predicts that quantum machine learning could potentially become a powerful tool for HEP data analyses."
Tuysuz:2021oai,"'Track Reconstruction'","'Quantum Neural Networks'","To be written","To be written","To be written"
Williams:2021lvr,"'Event Generation'","'Quantum Walks'","To be written","To be written","To be written"
Araz:2021zwu,"'Jet Algorithms and Jet Tagging'","'Tensor Networks', 'Quantum Inspired Algorithms'","Classify between top quark jets and QCD jets","Matrix Product States (MPS)","Matrix Product States (MPS)"
Li:2021kcs,"'Event Generation'","'Variational Quantum Circuits'","To be written","To be written","To be written"
Bargassa:2021jmk,"'Beyond the Standard Model'","'Quantum Annealing'","To be written","To be written","To be written"
Ramirez-Uribe:2021ubp,"'Quantum Field Theories'","'Quantum Algorithms Based on Amplitude Amplification'","To be written","To be written","To be written"
Belis:2021zqi,"'Signal-Background Discrimination'","'Variational Quantum Circuits'","Classification of $t\bar{t}H(b\bar{b}$ (signal) and $t\bar{t}b\bar{b}$ (background)","Quantum Support Vector Machine (QSVM) and Variational Quantum Circuit (VQC)","To be written"
Bauer:2021gup,"'Quantum Field Theories'","'Quantum Simulations'","To be written","To be written","To be written"
Magano:2021jzd,"'Track Reconstruction'","'Quantum Algorithms Based on Amplitude Amplification'","Track reconstruction","To be written","This paper identifies the four fundamental routines in local track reconstruction methods: seeding, track building, cleaning, and selection."
Dixit:2020ymh,"'Beyond the Standard Model'","'Quantum Sensors'","To be written","To be written","To be written"
Blance:2020ktp,"'Anomaly Detection'","'Continuous Variable Quantum Computing'","Anomaly detection, where background is $pp \rightarrow Z +$ jets events, and signal is $pp \rightarrow HZ$ events with subsequent decays $H \rightarrow A_1 A_2$, $A_2 \rightarrow gg$, and $A_1 \rightarrow gg$, and the $Z$ boson decays leptonically to either $e$ or $\mu$","To be written","To be written"
Chang:2021ufg,"'Detector Simulation'","'Quantum Generative Adversarial Networks'","To be written","To be written","To be written"
Heredge:2021vww,"'Signal-Background Discrimination'","'Variational Quantum Circuits', 'Quantum Support Vector Machines'","Signal-background classification, where signal is $B\bar{B}$ pair events, and background is $q\bar{q}$ pair events","Quantum Support Vector Machine (QSVM)","To be written"
ARahman:2021ktn,"'Lattice Field Theories'","'Quantum Annealing'","To be written","To be written","To be written"
Atas:2021ext,"'Lattice Field Theories'","'Quantum Simulations'","To be written","To be written","To be written"
Chen:2021ouz,"'Neutrinos'","'Variational Quantum Circuits'; 'Quantum Neural Networks'","Classification of $\mu^+$, $e^-$, $\pi^+$, and $p$ at the Liquid Argon Time Projection Chamber (LArTPC) at Deep Underground Neutrino Experiment (DUNE)","Hybrid Quantum-Classical Graph Convolutional Neural Network (QGCNN) using Variational Quantum Circuits (VQC)","To be written"
Chang:2021jne,"'Detector Simulation'","'Continuous Variable Quantum Computing', 'Quantum Generative Adversarial Networks'","To be written","To be written","To be written"
Pires:2021fka,"'Jet Algorithms and Jet Tagging'","'Quantum Unsupervised Clustering Algorithms'","To be written","Quantum $k$-means","To be written"
Chen:2020zkj,"'Neutrinos'","'Variational Quantum Circuits'; 'Quantum Neural Networks'","Classification of $\mu^+$, $e^-$, $\pi^+$, and $p$ at the Liquid Argon Time Projection Chamber (LArTPC) at Deep Underground Neutrino Experiment (DUNE)","Quantum Convolutional Neural Network (QCNN) using Variational Quantum Circuits (VQC)","To be written"
Pires:2020urc,"'Jet Algorithms and Jet Tagging'","'Quantum Annealing'","To be written","To be written","To be written"
Quiroz:2020jmp,"'Track Reconstruction'","'Quantum Annealing'","To be written","Quantum Associated Memory Model (QAMM) and Quantum Content-Addressable Memory (QCAM) on quantum annealers","To be written"
Blance:2020nhl,"'Signal-Background Discrimination'","'Variational Quantum Circuits'","Signal-background discrimination, where the background is $pp \rightarrow t\bar{t}$ events, and the signal is $pp \rightarrow Z' \rightarrow t\bar{t}$ events","Variational Quantum Classifier (VQC)","To be written"
Armenakas:2020ymp,"'Beyond the Standard Model'","'Quantum Algorithms Based on Amplitude Amplification'","Detection of the exotic decays of Higgs boson used in Dark Sector searches ($H \rightarrow ZZ_d \rightarrow 4l$)","Grover's Algorithm","To be written"
Bepari:2020xqi,"'Event Generation'","'Quantum Simulations'","To be written","To be written","To be written"
Briceno:2020rar,"'Lattice Field Theories'","'Quantum Simulations'","To be written","To be written","To be written"
Guan:2020bdl,"'Reviews'; 'Signal-Background Discrimination', 'Cosmology'","'Reviews'; 'Quantum Annealing', 'Variational Quantum Circuits'","Di-photon event classification, galaxy morphology classification, particle track reconstruction, and signal-background discrimination with the SUSY data set","Quantum machine learning using quantum annealing, restrictive Boltzmann machines, quantum graph networks, and variational quantum circuits","To be written"
Terashi:2020wfi,"'Signal-Background Discrimination'; 'Beyond the Standard Model'","'Variational Quantum Circuits'","Signal-background discrimination, where the signal is a SUSY process, in particular, a chargino-pair production via a Higgs boson, where the final state has two charged leptons and missing transverse momentum. The background event is a $W$ boson pair production $WW$ where each $W$ decays into a charged lepton and a neutrino.","Variational Quantum Circuits (VQC) and Quantum Circuit Learning (QCL)","The performance of the QCL algorithms on quantum simulators is characterized by a relatively flat AUC as a function of the number of training events. The AUC for QCL is higher than the AUC for BDT and DNN for a low number of training events, however, for high training events, the performance for BDT and DNN surpasses QCL. The VQC algorithm has been tested on IBM's quantum computer, and the performance is similar to that of the quantum simulator. However, there is an increase in uncertainty due to hardware noise. Other QCL and VQC models are tested, which do not show any improvement to the nominal QCL and VQC models. The behavior that variational quantum algorithms does better with a small number of training data could be considered as a possible advantage over classical machine learning."
Felser:2020mka,"'Jet Algorithms and Jet Tagging'","'Quantum Inspired Algorithms'","To be written","To be written","To be written"
Matchev:2020wwx,"'Beyond the Standard Model', 'Anomaly Detection'","'Quantum Annealing'","To be written","To be written","To be written"
Afik:2020onf,"'Top Quarks'","'Quantum Information Theory'","To be written","To be written","To be written"
Kreshchuk:2020dla,"'Quantum Field Theories'","'Quantum Simulations'","To be written","To be written","To be written"
Nguyen:2019gpo,"'Lattice Field Theories'","'Quantum Annealing'","To be written","To be written","To be written"
Zlokapa:2019lvv,"'Signal-Background Discrimination'","'Quantum Annealing'","Higgs signal-background discrimination, in which kinematic variables describing diphoton processes corresponds to either to a Higgs boson decay (signal) or other Standard Model processes (background)","By iteratively perform quantum annealing, the binary weights on the weak classifiers can be made continuous, which results in a stronger classifier.","QAML-Z does not show an obvious advantage over traditional machine learning methods, including deep neural networks (DNNs) and boosted decision trees (BDTs), however, its performance surpasses the QAML algorithm and simulated annealing with zooming."
Wei:2019rqy,"'Jet Algorithms and Jet Tagging'","'Quantum Annealing', 'Quantum Algorithms Based on Amplitude Amplification'","Thrust, an event shape whose optimum corresponds to the most jet-like separating plane among a set of particles, focusing on the case of electron-positron collisions","(1) Created a quantum algorithm based on quantum annealing (encoded optimization problem as a QUBO problem); (2) Created quantum algorithm based on Grover search and describes two computing models, sequential model and parallel model, for loading classical data into quantum memory.","This paper finds an algorithm that improves the previously best known $O(N^3)$ classical thrust algorithm to an $O(N^2)$ sequential algorithm, while also finding an improved $O(N^2 \log N)$ classical algorithm. The computational costs of data loading must be carefully considered when evaluating the potential for quantum speedups on classical datasets."
Bauer:2019qxa,"'Event Generation'","'Quantum Simulations'","To be written","To be written","To be written"
Arguelles:2019phs,"'Neutrinos'","'Quantum Simulations'","To be written","To be written","To be written"
Das:2019hrw,"'Track Reconstruction'","'Quantum Annealing'","To be written","To be written","To be written"
Lamm:2019bik,"'Quantum Field Theories'","'Quantum Simulations'","To be written","To be written","To be written"
Bapst:2019llh,"'Track Reconstruction'","'Quantum Annealing'","Pattern recognition for track reconstruction using the TrackML dataset, relevant for analysis at the HL-LHC","To be written","To be written"
Yeter-Aydeniz:2018mix,"'Quantum Field Theories'","'Quantum Simulations'","To be written","To be written","To be written"
Mott:2017xdb,"'Signal-Background Discrimination'","'Quantum Annealing'","Signal-background discrimination, in which kinematic variables describing diphoton processes corresponds to either to a Higgs boson decay (signal) or other Standard Model processes (background).","The strong classifier is constructed from a linear combination of weak classifiers, where the weights are obtained through an optimization problem, which have a mapping to a quadratic unconstrained binary optimization (QUBO) problem. D-Wave's quantum annealer is used to solve the QUBO problem.","Quantum and classical annealing-based classifiers perform comparably with no clear advantage to traditional machine learning methods, including deep neural network (DNN) and an ensemble of boosted decision trees (BDTs)."
Jordan:2014tma,"'Quantum Field Theories'","'Quantum Simulations'","To be written","To be written","To be written"  
Jordan:2011ci,"'Quantum Field Theories'","'Quantum Simulations'","To be written","To be written","To be written"
Byrnes:2005qx,"'Lattice Field Theories'","'Quantum Simulations'","To be written","To be written","To be written"
